arm,flores_code,idx,newly_flagged,base_hyp,arm_hyp,ref
C-q4-g64,rus_Cyrl,188,drift,"Чамبرز, агностик, утверждает, что его иск является «безосновательным» и «кто угодно может подать иск к кому угодно».","Chambers, being an agnostic, argues that his lawsuit is ""frivolous"" and ""anybody can sue anybody.""","Агностик Чемберс утверждает, что его иск ""несерьезный"" и ""каждый может подать в суд на кого угодно""."
E-q4-emb8,rus_Cyrl,6,rep,"Он построил беспроводную дверную звонок, он сказал.","Он построил WiFi-дверной звонок, он сказал.","Он сказал, что создал дверной звонок, работающий от WiFi."
C-q4-g64,cmn_Hant,0,drift,我們現在有4個月大的非糖尿病老鼠，這些老鼠以前是糖尿病患者。,現在、私たちは元々糖尿病だった4ヶ月齢の非糖尿病性マウスを4ヶ月齢の非糖尿病性マウスに置き換えています。,「我們有 4 個月大曾經罹患糖尿病老鼠現在沒有糖尿病了」他補充道。
C-q4-g64,cmn_Hant,17,drift,1960年代，布雷斯金斯基為約翰·F·肯尼迪擔任他的顧問，後來為林登·B·約翰遜政府工作。,1960年代、ブライスジンスキーはジョン・F・ケネディの顧問として、そしてリンドン・B・ジョンソン政権下で働きました。,整個 1960 年代，布里辛斯基擔任過約翰．甘迺迪的顧問及林登．詹森的幕僚。
C-q4-g64,cmn_Hant,41,drift,802.11n標準支持2.4GHz和5.0GHz頻段。,The 802.11n standard operates on both the 2.4 GHz and 5.0 GHz frequencies.,802.11n 標準可在 2.4Ghz 和 5.0Ghz 頻率上運作。
C-q4-g64,cmn_Hant,55,rep,現任阿根廷參議員兼阿根廷第一夫人克里斯蒂娜·費爾南德斯·德·基什內爾（Cristina Fernández de Kirchner）昨晚在布宜诺斯艾利斯（Buenos Aires）5000 公里（3100 英里）外的拉普拉塔（La Plata）宣布其總統候選人資格。,現任阿根廷參議員兼阿根廷第一夫人克里斯蒂娜·費爾南德斯·德·基什納爾（Cristina Fernández de Kirchner）昨晚在布宜诺斯艾利斯（Buenos Aires）500公里（310英里）外的拉普拉塔（La Plata）宣布竞选总统。,現任參議員、阿根廷第一夫人克莉絲汀娜‧費南德茲‧德基希納，昨晚在距離布宜諾斯艾利斯 50 公里（31 英里）的拉普拉塔市，宣布參選總統。
C-q4-g64,cmn_Hant,64,drift,國會於2005年財政年度開始資助這項賤俗計劃，並指定FBI必須派10名特工專門處理成人色情圖片。,國會於 2005 年度預算中開始資助這項 obscenity 計劃，並要求 FBI 指定 10 名特種警察來處理成人色情內容。,美國國會從 2005 財政年度開始撥款給猥褻防治措施，並要求聯邦調查局指派十名探員處理成人色情案件。
C-q4-g64,cmn_Hant,71,drift,哈珀首相同意將政府的「清潔空氣法案」提交給全黨委員會審查，在二 readings 之前，於星期二與NDP領導人傑克·萊頓在首相辦公室的25分鐘會議後。,总理史蒂芬·哈珀（Stephen Harper）已同意將政府的「清潔空氣法」提交給全黨委員會審查，在周二與NDP領袖傑克·萊頓（Jack Layton）在PMO的25分鐘會議後，在第二遍閱讀前進行審查。,在周二與新民主黨領導人傑克‧林頓於總理辦公室進行 25 分鐘會晤後，總理史蒂芬‧哈珀同意將政府的《空氣潔淨法》送交由所有黨派組成的委員會審核，再進行二讀。
E-q4-emb8,cmn_Hant,0,drift,我們現在有4個月大的非糖尿病老鼠，這些老鼠以前是糖尿病患者。,現在、私たちは4ヶ月齢の非糖尿病のマウスを扱っています。これらはかつて糖尿病だったものです。,「我們有 4 個月大曾經罹患糖尿病老鼠現在沒有糖尿病了」他補充道。
E-q4-emb8,cmn_Hant,33,rep,一輛汽車炸彈在土耳其加扎安泰普警察總部爆炸，造成兩名警察死亡，二十多人受伤。,在土耳其加 zá n te p 的警察总部发生了一起汽车炸弹爆炸事件，炸弹爆炸导致两名警察死亡，另有二十多人受伤。,昨天早上在土耳其加濟安泰普警察總部引爆的汽車炸彈，造成兩名員警死亡以及超過二十位民眾受傷。
