flores_code,name,script,script_family,tier,region_cluster,n_sents,tokens,bytes,chars,fertility_tok_per_100b,fertility_tok_per_100c,bytes_per_char,notes,tokens_per_parallel_sent_median,tok_ratio_vs_eng
eng_Latn,English,Latin,Latin,high,,1012,27830,132096,131966,21.07,21.09,1.0,control,26,1.0
spa_Latn,Spanish,Latin,Latin,high,,1012,36067,159885,156983,22.56,22.98,1.02,second control,34,1.308
rus_Cyrl,Russian,Cyrillic,non-Latin,high,,1012,40480,260342,142096,15.55,28.49,1.83,high resource non-Latin; separates script from resource level,38,1.462
cmn_Hant,Chinese (Traditional),Han,non-Latin,high,,1012,33306,116199,40695,28.66,81.84,2.86,second high resource non-Latin; the only language spot checked by hand,31,1.192
hin_Deva,Hindi,Devanagari,non-Latin,mid,,1012,91950,337073,131058,27.28,70.16,2.57,midpoint,87,3.346
arb_Arab,Arabic,Arabic,non-Latin,mid,,1012,35878,211263,116307,16.98,30.85,1.82,midpoint; RTL makes broken output visible,34,1.308
swh_Latn,Swahili,Latin,Latin,low,,1012,39936,138308,138104,28.87,28.92,1.0,low resource Latin; the key counterexample,38,1.462
yor_Latn,Yoruba,Latin+tone,Latin,low,,1012,59481,168853,126844,35.23,46.89,1.33,second low resource Latin; diacritics raise fertility,55,2.115
amh_Ethi,Amharic,Ge'ez,non-Latin,low,,1012,57049,225450,87132,25.3,65.47,2.59,low resource non-Latin; in theory the most fragile corner,54,2.077
mya_Mymr,Burmese,Myanmar,non-Latin,low,,1012,137812,465528,163169,29.6,84.46,2.85,second low resource non-Latin; highest expected fertility,131,5.038
